day,mode,total_battles,total_wins,total_level_ups,total_gacha_pulls,total_gacha_wins,avg_level,avg_R3,avg_win_rate,win_rate_distribution_str
1,control,707,343,0,97,0,1.0,0.0,0.4949011112786903,
2,control,707,346,0,98,0,1.0,1.8088,0.5016748892334475,
3,control,713,347,0,110,0,1.0,3.9877599999999997,0.5034547556881267,
4,control,716,350,0,96,0,1.0,6.250752,0.4915474004738345,
5,control,698,345,0,90,0,1.0,8.5425504,0.5020957802619936,
6,control,710,336,7,88,0,1.007,10.80451008,0.5037192649959612,
7,control,721,355,17,92,0,1.024,13.049702016000001,0.4970635917490823,
8,control,703,372,35,106,0,1.059,15.358460403200002,0.5130293013687905,
9,control,697,343,57,95,0,1.116,17.70811208064,0.4939433425537484,
10,control,702,340,66,113,0,1.182,19.980562416128,0.5022482305161602,
11,control,710,369,86,86,0,1.268,22.239912483225602,0.5011220144655412,
12,control,710,362,95,99,0,1.363,24.59412249664512,0.49340677313390807,
13,control,719,380,87,97,0,1.45,26.955084499329022,0.5046316802379922,
14,control,698,336,78,100,0,1.528,29.39189689986581,0.4979552435697437,
15,control,688,329,87,104,0,1.615,31.699019379973166,0.5048237107433264,
16,control,709,353,71,91,0,1.686,33.953083875994636,0.49656636377418556,
17,control,731,367,50,99,0,1.736,36.30135677519893,0.5005805568473579,
18,control,685,347,46,114,0,1.782,38.740751355039784,0.5075026839558909,
19,control,689,346,49,112,0,1.831,41.08815027100797,0.5066840550911725,
20,control,687,357,39,105,0,1.87,43.423450054201595,0.5116819094324482,
21,control,675,322,54,97,0,1.924,45.79083001084032,0.5034549645852564,
22,control,686,329,52,100,0,1.976,48.05094600216807,0.5009466852235113,
23,control,712,362,37,93,0,2.013,50.32904920043361,0.5010768024795657,
24,control,684,328,52,108,0,2.065,52.743269840086725,0.49589003217323446,
25,control,705,346,60,97,0,2.125,55.05279396801735,0.500222518161121,
26,control,703,348,53,91,0,2.178,57.42763879360347,0.5028739542137255,
27,control,702,331,46,100,0,2.224,59.821827758720694,0.4954296372276235,
28,control,706,354,59,99,0,2.283,62.17392555174414,0.5041822407339709,
29,control,692,344,77,105,0,2.36,64.59610511034883,0.5018190541038594,
