day,mode,total_battles,total_wins,total_level_ups,total_gacha_pulls,total_gacha_wins,avg_level,avg_R3,avg_win_rate,win_rate_distribution_str
1,experiment,696,317,0,95,0,1.0,0.0,0.49240581651284526,
2,experiment,708,366,48,93,0,1.048,1.7227999999999999,0.5071594044606189,
3,experiment,696,336,141,100,0,1.189,3.9417600000000004,0.5016602719900262,
4,experiment,683,354,180,98,0,1.369,6.165812,0.5035540287831044,
5,experiment,710,338,167,103,0,1.536,8.4374824,0.4990637773375392,
6,experiment,695,372,180,117,0,1.716,10.72377648,0.49442511826889146,
7,experiment,703,357,187,104,0,1.903,13.106655296000001,0.49596326864673196,
8,experiment,705,352,192,98,0,2.095,15.494571059200002,0.5034883209622563,
9,experiment,699,342,201,97,0,2.296,17.88699421184,0.4922022384515346,
10,experiment,704,356,199,96,0,2.495,20.256978842368,0.5108225148095101,
11,experiment,700,361,194,103,0,2.689,22.6911357684736,0.5052606433842598,
12,experiment,678,339,224,96,0,2.913,25.16646715369472,0.5072373850802289,
13,experiment,721,355,187,91,0,3.1,27.573493430738946,0.4899385830179648,
14,experiment,688,340,215,97,0,3.315,30.095498686147792,0.5131831953763965,
15,experiment,706,356,204,90,0,3.519,32.56161973722956,0.5062991109356197,
16,experiment,670,335,235,95,0,3.754,35.11208394744591,0.4959197161957543,
17,experiment,710,375,190,100,0,3.944,37.58093678948919,0.5024781040605678,
18,experiment,712,363,197,91,0,4.141,40.23844735789783,0.4985515968882098,
19,experiment,702,358,204,94,0,4.345,42.91232947157956,0.503734923759596,
20,experiment,685,330,212,103,0,4.557,45.59232589431592,0.5022434410244158,
21,experiment,719,353,184,97,0,4.741,48.16688517886319,0.49616596361669785,
22,experiment,685,335,218,97,0,4.959,50.86387703577264,0.5040523614616451,
23,experiment,687,350,192,121,0,5.151,53.49727540715453,0.5062909389696195,
24,experiment,713,343,181,106,0,5.332,56.185955081430905,0.49943664581248554,
25,experiment,696,352,203,101,0,5.535,58.918811016286185,0.5150685870931876,
26,experiment,712,378,194,94,0,5.729,61.67936220325724,0.5031180152581961,
27,experiment,703,349,203,94,0,5.932,64.59331244065146,0.5008504380797109,
28,experiment,722,366,194,84,0,6.126,67.4244824881303,0.5082644625707112,
29,experiment,703,345,184,113,0,6.31,70.35017649762607,0.5011095295077798,
